block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
4968;miniXyce.x;;7.5;0.01;0.02;0.02;0.02;0;1;
2509;miniXyce.x;;7.5;0.01;0;0.01;0.01;5.8278026580811;2;
2780;miniXyce.x;;5;0;0.01;0.01;0.01;0;1;
4971;miniXyce.x;;5;0;0;0;0;4.7683715820313e-07;2;
1255;miniXyce.x;;5;0;0.01;0.01;0.01;0;1;
2944;miniXyce.x;;5;0;0;0;0;0.38851976394653;2;
5070;miniXyce.x;;2.5;0;0;0;0;0;1;
2975;miniXyce.x;;2.5;0;0;0;0;0;1;
1244;miniXyce.x;;2.5;0;0;0;0;0;1;
1247;miniXyce.x;;2.5;0;0;0;0;0;1;
2514;miniXyce.x;;2.5;0;0;0;0;0;1;
2549;miniXyce.x;;2.5;0;0;0;0;0;1;
5069;miniXyce.x;;2.5;0;0;0;0;0;1;
