function_id;module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
152;miniXyce.x;mX_matrix_utils::distributed_sparse_matrix_add_to(mX_matrix_utils::distributed_sparse_matrix*, int, int, double);;12.5;0.01;0;0.01;0.02;7.930636882782;3;
584;libc-2.31.so;pthread_attr_setschedparam;;12.5;0.01;0.01;0.01;0.01;5.4392828941345;2;
30;miniXyce.x;main;;10;0.01;0.02;0.02;0.02;0;1;
81;miniXyce.x;mX_DAE_utils::evaluate_b(double, mX_DAE_utils::mX_DAE*);;10;0.01;0;0.01;0.01;11.267086029053;2;
585;libc-2.31.so;__libc_malloc;;7.5;0.01;0;0.01;0.01;5.4392833709717;2;
92;miniXyce.x;std::_Rb_tree<int, std::pair<int const, int>, std::_Select1st<std::pair<int const, int> >, std::less<int>, std::allocator<std::pair<int const, int> > >::_M_get_insert_hint_unique_pos(std::_Rb_tree_const_iterator<std::pair<int const, int> >, int const&);;7.5;0.01;0;0.01;0.01;5.4392833709717;2;
1482;libstdc++.so.6.0.28;std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&);;7.5;0.01;0;0.01;0.01;4.6622428894043;2;
2712;libmpi.so.12.1.10;MPID_nem_tcp_connpoll;;5;0;0;0;0;4.7683715820313e-07;2;
155;miniXyce.x;mX_matrix_utils::init_value(mX_matrix_utils::distributed_sparse_matrix&, double);;5;0;0;0;0;4.7683715820313e-07;2;
99;miniXyce.x;mX_device_utils::mX_resistor::load_matrices();;5;0;0;0;0;0.38851976394653;2;
1906;libmpi.so.12.1.10;MPIC_Sendrecv;;2.5;0;0;0;0;0;1;
1149;libstdc++.so.6.0.28;__dynamic_cast;;2.5;0;0;0;0;0;1;
101;miniXyce.x;mX_device_utils::mX_capacitor::load_matrices();;2.5;0;0;0;0;0;1;
2592;libmpi.so.12.1.10;MPIDI_CH3I_Progress;;2.5;0;0;0;0;0;1;
1143;libstdc++.so.6.0.28;operator delete(void*);;2.5;0;0;0;0;0;1;
622;libstdc++.so.6.0.28;_ZNKSt7num_putIcSt19ostreambuf_iteratorIcSt11char_traitsIcEEE13_M_insert_intIlEES3_S3_RSt8ios_basecT_@plt;;2.5;0;0;0;0;0;1;
1902;libc-2.31.so;__nss_database_lookup;;2.5;0;0;0;0;0;1;
