block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
3139;miniXyce.x;;11.75;0.3;0.3;0.3;0.3;0;1;
3363;miniXyce.x;;11.18;0.29;0.29;0.29;0.29;0;1;
3381;miniXyce.x;;10.6;0.27;0.27;0.27;0.27;0;1;
3133;miniXyce.x;;4.05;0.1;0.11;0.11;0.11;0;1;
3429;miniXyce.x;;2.31;0.06;0.06;0.06;0.06;0;1;
3387;miniXyce.x;;1.93;0.05;0.05;0.05;0.05;0;1;
3367;miniXyce.x;;1.73;0.04;0.04;0.04;0.04;0;1;
3349;miniXyce.x;;1.35;0.04;0.04;0.04;0.04;0;1;
3201;miniXyce.x;;1.16;0.03;0.03;0.03;0.03;0;1;
3411;miniXyce.x;;1.16;0.03;0.03;0.03;0.03;0;1;
3432;miniXyce.x;;1.16;0.03;0.03;0.03;0.03;0;1;
3666;miniXyce.x;;0.77;0.02;0.02;0.02;0.02;0;1;
1612;miniXyce.x;;0.77;0.02;0.02;0.02;0.02;0;1;
3137;miniXyce.x;;0.77;0.02;0.02;0.02;0.02;0;1;
3202;miniXyce.x;;0.77;0.02;0.02;0.02;0.02;0;1;
1618;miniXyce.x;;0.58;0.01;0.01;0.01;0.01;0;1;
1544;miniXyce.x;;0.58;0.01;0.01;0.01;0.01;0;1;
3336;miniXyce.x;;0.58;0.01;0.01;0.01;0.01;0;1;
3333;miniXyce.x;;0.58;0.01;0.01;0.01;0.01;0;1;
3295;miniXyce.x;;0.58;0.01;0.01;0.01;0.01;0;1;
1623;miniXyce.x;;0.39;0.01;0.01;0.01;0.01;0;1;
1610;miniXyce.x;;0.39;0.01;0.01;0.01;0.01;0;1;
3330;miniXyce.x;;0.39;0.01;0.01;0.01;0.01;0;1;
3337;miniXyce.x;;0.39;0.01;0.01;0.01;0.01;0;1;
3129;miniXyce.x;;0.39;0.01;0.01;0.01;0.01;0;1;
3130;miniXyce.x;;0.39;0.01;0.01;0.01;0.01;0;1;
3132;miniXyce.x;;0.39;0.01;0.01;0.01;0.01;0;1;
3135;miniXyce.x;;0.39;0.01;0.01;0.01;0.01;0;1;
3140;miniXyce.x;;0.39;0.01;0.01;0.01;0.01;0;1;
3518;miniXyce.x;;0.39;0.01;0.01;0.01;0.01;0;1;
872;miniXyce.x;;0.19;0;0;0;0;0;1;
8;miniXyce.x;;0.19;0;0;0;0;0;1;
1613;miniXyce.x;;0.19;0;0;0;0;0;1;
1621;miniXyce.x;;0.19;0;0;0;0;0;1;
1606;miniXyce.x;;0.19;0;0;0;0;0;1;
1611;miniXyce.x;;0.19;0;0;0;0;0;1;
3316;miniXyce.x;;0.19;0;0;0;0;0;1;
3255;miniXyce.x;;0.19;0;0;0;0;0;1;
3428;miniXyce.x;;0.19;0;0;0;0;0;1;
3256;miniXyce.x;;0.19;0;0;0;0;0;1;
3331;miniXyce.x;;0.19;0;0;0;0;0;1;
3334;miniXyce.x;;0.19;0;0;0;0;0;1;
3258;miniXyce.x;;0.19;0;0;0;0;0;1;
3435;miniXyce.x;;0.19;0;0;0;0;0;1;
3436;miniXyce.x;;0.19;0;0;0;0;0;1;
3340;miniXyce.x;;0.19;0;0;0;0;0;1;
3437;miniXyce.x;;0.19;0;0;0;0;0;1;
3339;miniXyce.x;;0.19;0;0;0;0;0;1;
3434;miniXyce.x;;0.19;0;0;0;0;0;1;
3431;miniXyce.x;;0.19;0;0;0;0;0;1;
1120;miniXyce.x;;0.19;0;0;0;0;0;1;
3709;miniXyce.x;;0.19;0;0;0;0;0;1;
