block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
3139;miniXyce.x;;1.36;0.12;;;;;;
3381;miniXyce.x;;1.3;0.12;;;;;;
3363;miniXyce.x;;1.24;0.11;;;;;;
3133;miniXyce.x;;1.19;0.1;;;;;;
3143;miniXyce.x;;0.79;0.07;;;;;;
3157;miniXyce.x;;0.79;0.07;;;;;;
3147;miniXyce.x;;0.45;0.04;;;;;;
3666;miniXyce.x;;0.34;0.03;;;;;;
1623;miniXyce.x;;0.34;0.03;;;;;;
3132;miniXyce.x;;0.34;0.03;;;;;;
3149;miniXyce.x;;0.28;0.03;;;;;;
3387;miniXyce.x;;0.28;0.03;;;;;;
3201;miniXyce.x;;0.23;0.02;;;;;;
3137;miniXyce.x;;0.23;0.02;;;;;;
3160;miniXyce.x;;0.23;0.02;;;;;;
3154;miniXyce.x;;0.23;0.02;;;;;;
872;miniXyce.x;;0.17;0.01;;;;;;
1544;miniXyce.x;;0.17;0.01;;;;;;
3151;miniXyce.x;;0.17;0.01;;;;;;
3411;miniXyce.x;;0.17;0.01;;;;;;
3432;miniXyce.x;;0.17;0.01;;;;;;
3435;miniXyce.x;;0.17;0.01;;;;;;
3130;miniXyce.x;;0.17;0.01;;;;;;
3367;miniXyce.x;;0.17;0.01;;;;;;
1618;miniXyce.x;;0.11;0.01;;;;;;
3168;miniXyce.x;;0.11;0.01;;;;;;
3520;miniXyce.x;;0.11;0.01;;;;;;
3336;miniXyce.x;;0.11;0.01;;;;;;
3122;miniXyce.x;;0.11;0.01;;;;;;
3333;miniXyce.x;;0.11;0.01;;;;;;
3135;miniXyce.x;;0.11;0.01;;;;;;
3349;miniXyce.x;;0.11;0.01;;;;;;
1120;miniXyce.x;;0.11;0.01;;;;;;
3518;miniXyce.x;;0.11;0.01;;;;;;
8;miniXyce.x;;0.06;0;;;;;;
3162;miniXyce.x;;0.06;0;;;;;;
3822;miniXyce.x;;0.06;0;;;;;;
3802;miniXyce.x;;0.06;0;;;;;;
296;miniXyce.x;;0.06;0;;;;;;
3636;miniXyce.x;;0.06;0;;;;;;
1611;miniXyce.x;;0.06;0;;;;;;
1612;miniXyce.x;;0.06;0;;;;;;
1606;miniXyce.x;;0.06;0;;;;;;
1608;miniXyce.x;;0.06;0;;;;;;
3343;miniXyce.x;;0.06;0;;;;;;
1649;miniXyce.x;;0.06;0;;;;;;
3368;miniXyce.x;;0.06;0;;;;;;
3138;miniXyce.x;;0.06;0;;;;;;
3141;miniXyce.x;;0.06;0;;;;;;
3642;miniXyce.x;;0.06;0;;;;;;
3161;miniXyce.x;;0.06;0;;;;;;
3163;miniXyce.x;;0.06;0;;;;;;
3330;miniXyce.x;;0.06;0;;;;;;
3165;miniXyce.x;;0.06;0;;;;;;
3334;miniXyce.x;;0.06;0;;;;;;
3170;miniXyce.x;;0.06;0;;;;;;
3153;miniXyce.x;;0.06;0;;;;;;
3117;miniXyce.x;;0.06;0;;;;;;
3356;miniXyce.x;;0.06;0;;;;;;
3142;miniXyce.x;;0.06;0;;;;;;
3202;miniXyce.x;;0.06;0;;;;;;
3339;miniXyce.x;;0.06;0;;;;;;
3437;miniXyce.x;;0.06;0;;;;;;
3121;miniXyce.x;;0.06;0;;;;;;
3260;miniXyce.x;;0.06;0;;;;;;
3145;miniXyce.x;;0.06;0;;;;;;
3140;miniXyce.x;;0.06;0;;;;;;
2909;miniXyce.x;;0.06;0;;;;;;
3709;miniXyce.x;;0.06;0;;;;;;
3295;miniXyce.x;;0.06;0;;;;;;
3274;miniXyce.x;;0.06;0;;;;;;
