function_id;module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
2592;libmpi.so.12.1.10;MPIDI_CH3I_Progress;;14.89;1.34;1.3;1.33;1.35;0.17379809916019;2;
584;libc-2.31.so;pthread_attr_setschedparam;;12.87;1.16;0.78;1.15;1.52;5.7496094703674;2;
2589;libmpi.so.12.1.10;MPIDI_CH3I_Shm_send_progress;;12;1.08;0.95;1.07;1.18;1.9714515209198;2;
2582;libmpi.so.12.1.10;MPIDI_CH3_iStartMsg;;9.36;0.84;0.36;0.83;1.31;7.7279596328735;2;
67;miniXyce.x;mX_matrix_utils::sparse_matrix_vector_product(mX_matrix_utils::distributed_sparse_matrix*, std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&);;8.38;0.75;0.65;0.75;0.85;1.5225808620453;2;
68;miniXyce.x;mX_matrix_utils::gmres(mX_matrix_utils::distributed_sparse_matrix*, std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&, double&, double&, int, std::vector<double, std::allocator<double> >&, int&, int&);;4.57;0.41;0.41;0.41;0.41;0.095838561654091;2;
2315;libmpi.so.12.1.10;MPID_Request_free_hook;;4.26;0.38;0.36;0.38;0.41;0.34410205483437;2;
2712;libmpi.so.12.1.10;MPID_nem_tcp_connpoll;;3.22;0.29;0.18;0.29;0.39;1.7445992231369;2;
2305;libmpi.so.12.1.10;MPIDI_CH3U_Recvq_FDP_or_AEU;;2.21;0.2;0.1;0.2;0.3;1.5984215736389;2;
2487;libmpi.so.12.1.10;MPID_Recv;;2.21;0.2;0.11;0.2;0.28;1.3605208396912;2;
1482;libstdc++.so.6.0.28;std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&);;1.96;0.18;0.11;0.18;0.25;1.0860724449158;2;
585;libc-2.31.so;__libc_malloc;;1.91;0.17;0.14;0.17;0.2;0.45235967636108;2;
2303;libmpi.so.12.1.10;MPIDI_CH3U_Recvq_FDU_or_AEP;;1.88;0.17;0.09;0.17;0.25;1.2853574752808;2;
1303;libmpi.so.12.1.10;MPI_Send;;1.6;0.14;0.11;0.14;0.18;0.53510159254074;2;
2420;libmpi.so.12.1.10;MPIDI_CH3_PktHandler_EagerShortSend;;1.26;0.11;0.08;0.11;0.15;0.57923901081085;2;
305;libc-2.31.so;vprintf;;1.21;0.11;0.22;0.22;0.22;0;1;
2196;libmpi.so.12.1.10;MPIR_Progress_hook_exec_all;;1.15;0.1;0.02;0.1;0.19;1.3736207485199;2;
2419;libmpi.so.12.1.10;MPIDI_CH3_EagerContigShortSend;;1.07;0.1;0.07;0.09;0.12;0.40960124135017;2;
586;libc-2.31.so;__libc_free;;1.04;0.09;0.08;0.09;0.11;0.26479578018188;2;
2226;libmpi.so.12.1.10;MPIDI_CH3I_Comm_find;;1.04;0.09;0.09;0.09;0.09;0.026894999668002;2;
1299;libmpi.so.12.1.10;MPI_Recv;;1.01;0.09;0.06;0.09;0.12;0.46339118480682;2;
2591;libmpi.so.12.1.10;MPID_nem_handle_pkt;;0.98;0.09;0.05;0.09;0.13;0.66198670864105;2;
2310;libmpi.so.12.1.10;MPID_Request_create_hook;;0.76;0.07;0.06;0.07;0.08;0.12825825810432;2;
2491;libmpi.so.12.1.10;MPID_Send;;0.76;0.07;0.05;0.07;0.09;0.28685882687569;2;
1902;libc-2.31.so;__nss_database_lookup;;0.64;0.06;0.05;0.06;0.07;0.1268792450428;2;
48;miniXyce.x;void std::vector<double, std::allocator<double> >::_M_realloc_insert<double const&>(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, double const&);;0.62;0.06;0.04;0.05;0.08;0.32478526234627;2;
2314;libmpi.so.12.1.10;MPIDI_CH3U_Request_unpack_uebuf;;0.5;0.05;0.04;0.05;0.05;0.1523953974247;2;
72;miniXyce.x;void std::vector<double, std::allocator<double> >::emplace_back<double>(double&&);;0.5;0.05;0.04;0.05;0.05;0.085505522787571;2;
2317;libmpi.so.12.1.10;MPID_Request_complete;;0.48;0.04;0.03;0.04;0.05;0.19239023327827;2;
75;miniXyce.x;std::_Rb_tree<int, std::pair<int const, double>, std::_Select1st<std::pair<int const, double> >, std::less<int>, std::allocator<std::pair<int const, double> > >::_M_get_insert_hint_unique_pos(std::_Rb_tree_const_iterator<std::pair<int const, double> >, int const&);;0.45;0.04;0.02;0.04;0.06;0.39098566770554;2;
71;miniXyce.x;std::_Rb_tree<int, std::pair<int const, double>, std::_Select1st<std::pair<int const, double> >, std::less<int>, std::allocator<std::pair<int const, double> > >::_M_erase(std::_Rb_tree_node<std::pair<int const, double> >*);;0.42;0.04;0.02;0.04;0.06;0.35168021917343;2;
1819;libmpi.so.12.1.10;MPIR_Coll_safe_to_block;;0.39;0.04;0.07;0.07;0.07;0;1;
1342;libmpi.so.12.1.10;MPIR_Wait_state;;0.34;0.03;0.03;0.03;0.03;0.0041367975063622;2;
1840;libmpi.so.12.1.10;MPII_Gentran_scheds_are_pending;;0.34;0.03;0.06;0.06;0.06;0;1;
102;miniXyce.x;.plt.sec@start;;0.31;0.03;0.02;0.03;0.03;0.11515832692385;2;
2725;libmpi.so.12.1.10;MPIDU_Sched_are_pending;;0.28;0.03;0.02;0.02;0.02;0.0034473172854632;2;
296;libc-2.31.so;swapcontext;;0.28;0.03;0.05;0.05;0.05;0;1;
2623;libmpi.so.12.1.10;MPID_nem_network_poll;;0.22;0.02;0;0.02;0.03;0.24065868556499;2;
348;libc-2.31.so;psiginfo;;0.22;0.02;0.04;0.04;0.04;0;1;
320;libmpi.so.12.1.10;.plt.sec@start;;0.2;0.02;0.02;0.02;0.02;0.037236992269754;2;
2316;libmpi.so.12.1.10;MPID_Request_destroy_hook;;0.17;0.02;0.01;0.01;0.02;0.0020683987531811;2;
1215;libstdc++.so.6.0.28;operator new(unsigned long);;0.17;0.02;0.01;0.01;0.02;0.0020683987531811;2;
1343;libmpi.so.12.1.10;MPIR_Wait_impl;;0.14;0.01;0.01;0.01;0.02;0.041373807936907;2;
1026;libstdc++.so.6.0.28;.plt.sec@start;;0.11;0.01;0.01;0.01;0.01;0.00137893948704;2;
453;libc-2.31.so;vscanf;;0.11;0.01;0.02;0.02;0.02;0;1;
1478;libstdc++.so.6.0.28;std::_Rb_tree_decrement(std::_Rb_tree_node_base*);;0.08;0.01;0.01;0.01;0.01;0;1;
73;miniXyce.x;void std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >::_M_realloc_insert<std::vector<double, std::allocator<double> > const&>(__gnu_cxx::__normal_iterator<std::vector<double, std::allocator<double> >*, std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > > >, std::vector<double, std::allocator<double> > const&);;0.08;0.01;0;0.01;0.01;0.038615930825472;2;
62;miniXyce.x;mX_matrix_utils::distributed_sparse_matrix_add_to(mX_matrix_utils::distributed_sparse_matrix*, int, int, double, int, int);;0.08;0.01;0;0.01;0.01;0.038615930825472;2;
24;miniXyce.x;main;;0.08;0.01;0;0.01;0.01;0.040684338659048;2;
3444;libstdc++.so.6.0.28;std::ostreambuf_iterator<char, std::char_traits<char> > std::num_put<char, std::ostreambuf_iterator<char, std::char_traits<char> > >::_M_insert_float<double>(std::ostreambuf_iterator<char, std::char_traits<char> >, std::ios_base&, char, char, double) const;;0.08;0.01;0.02;0.02;0.02;0;1;
543;libc-2.31.so;_IO_str_pbackfail;;0.08;0.01;0.02;0.02;0.02;0;1;
519;libc-2.31.so;_IO_enable_locks;;0.08;0.01;0.02;0.02;0.02;0;1;
1834;libmpi.so.12.1.10;MPIR_Csel_search;;0.06;0.01;0.01;0.01;0.01;0;1;
3794;libstdc++.so.6.0.28;std::basic_streambuf<char, std::char_traits<char> >::xsputn(char const*, long);;0.06;0.01;0.01;0.01;0.01;0;1;
3549;libstdc++.so.6.0.28;std::ostream& std::ostream::_M_insert<double>(double);;0.06;0.01;0.01;0.01;0.01;0;1;
3513;libstdc++.so.6.0.28;std::ostream::sentry::sentry(std::ostream&);;0.06;0.01;0.01;0.01;0.01;0;1;
1289;libstdc++.so.6.0.28;std::codecvt<char, char, __mbstate_t>::do_always_noconv() const;;0.06;0.01;0.01;0.01;0.01;0;1;
1149;libstdc++.so.6.0.28;__dynamic_cast;;0.06;0.01;0.01;0.01;0.01;0;1;
2580;libmpi.so.12.1.10;MPIDI_CH3_iSendv;;0.03;0;0;0;0;0;1;
2473;libmpi.so.12.1.10;MPID_Isend;;0.03;0;0;0;0;0;1;
1143;libstdc++.so.6.0.28;operator delete(void*);;0.03;0;0;0;0;0;1;
1060;libc-2.31.so;__poll;;0.03;0;0;0;0;0;1;
813;libmpi.so.12.1.10;MPI_Allreduce;;0.03;0;0;0;0;0;1;
811;libmpi.so.12.1.10;MPIR_Allreduce_impl;;0.03;0;0;0;0;0;1;
0;miniXyce.x;Unknown function;;0.03;0;0;0;0;0;1;
3462;libstdc++.so.6.0.28;std::istreambuf_iterator<char, std::char_traits<char> > std::num_get<char, std::istreambuf_iterator<char, std::char_traits<char> > >::_M_extract_int<long>(std::istreambuf_iterator<char, std::char_traits<char> >, std::istreambuf_iterator<char, std::char_traits<char> >, std::ios_base&, std::_Ios_Iostate&, long&) const;;0.03;0;0;0;0;0;1;
3389;libstdc++.so.6.0.28;std::ctype<char> const& std::use_facet<std::ctype<char> >(std::locale const&);;0.03;0;0;0;0;0;1;
2588;libmpi.so.12.1.10;check_terminating_vcs;;0.03;0;0;0;0;0;1;
2508;libstdc++.so.6.0.28;std::__cxx11::numpunct<char>::do_falsename() const;;0.03;0;0;0;0;0;1;
1902;libmpi.so.12.1.10;MPIC_Wait;;0.03;0;0;0;0;0;1;
1593;libstdc++.so.6.0.28;std::__basic_file<char>::xsputn(char const*, long);;0.03;0;0;0;0;0;1;
1527;libmpi.so.12.1.10;MPIR_Allreduce_intra_recursive_doubling;;0.03;0;0;0;0;0;1;
1364;libstdc++.so.6.0.28;std::locale::facet::_S_get_c_locale();;0.03;0;0;0;0;0;1;
1265;libstdc++.so.6.0.28;__cxxabiv1::__vmi_class_type_info::__do_dyncast(long, __cxxabiv1::__class_type_info::__sub_kind, __cxxabiv1::__class_type_info const*, void const*, __cxxabiv1::__class_type_info const*, void const*, __cxxabiv1::__class_type_info::__dyncast_result&) const;;0.03;0;0;0;0;0;1;
810;libmpi.so.12.1.10;MPIR_Allreduce_allcomm_auto;;0.03;0;0;0;0;0;1;
232;libpthread-2.31.so;__GI___pthread_once;;0.03;0;0;0;0;0;1;
72;libc-2.31.so;__uselocale;;0.03;0;0;0;0;0;1;
49;miniXyce.x;mX_linear_DAE_utils::evaluate_b(double, mX_linear_DAE_utils::mX_linear_DAE*);;0.03;0;0;0;0;0;1;
49;libc-2.31.so;.plt.sec@start;;0.03;0;0;0;0;0;1;
