Node;Process;Thread;System (%);Binary (%);Time (s);Math (%);OMP (%);String (%);Others (%);IO (%);Memory (%);MPI (%);Pthread (%);
_ALL;_ALL;_ALL;1.92;1.56;100.53;0;0;0;0.37;0.01;0;96.14;0;
robin-SATELLITE-L70-A;_ALL;_ALL;1.92;1.56;100.53;0;0;0;0.37;0.01;0;96.14;0;
robin-SATELLITE-L70-A;6951;_ALL;1.14;1;97.64;0;0;0;0.17;0;0;97.7;0;
robin-SATELLITE-L70-A;6951;6951;1.14;1;97.64;0;0;0;0.17;0;0;97.7;0;
robin-SATELLITE-L70-A;6950;_ALL;2.58;2.09;100.53;0;0;0;0.59;0;0;94.74;0;
robin-SATELLITE-L70-A;6950;6950;2.58;2.09;100.53;0;0;0;0.59;0;0;94.74;0;
robin-SATELLITE-L70-A;6953;_ALL;2.06;1.92;100.18;0;0;0;0.33;0;0;95.69;0;
robin-SATELLITE-L70-A;6953;6953;2.06;1.92;100.18;0;0;0;0.33;0;0;95.69;0;
robin-SATELLITE-L70-A;6952;_ALL;1.87;1.22;97.45;0;0;0;0.38;0.03;0;96.51;0;
robin-SATELLITE-L70-A;6952;6952;1.87;1.22;97.45;0;0;0;0.38;0.03;0;96.51;0;
